name,office_full,party_full,state,district,candidate_id
MCCLOSKEY PAUL N JR,Senate,REPUBLICAN PARTY,CA,0,S2CA00013
BRUINSMA THEODORE (TED) AUGUST,Senate,REPUBLICAN PARTY,CA,0,S2CA00021
GOLDWATER BARRY M JR,Senate,REPUBLICAN PARTY,CA,0,S2CA00039
SHINGLETON ARTHUR DANIEL JR,Senate,REPUBLICAN PARTY,CA,0,S2CA00047
DORNAN ROBERT K HON,Senate,REPUBLICAN PARTY,CA,0,S2CA00062
WHITEHURST DANIEL K,Senate,DEMOCRATIC PARTY,CA,0,S2CA00070
BROWN EDMOND G JR,Senate,DEMOCRATIC PARTY,CA,0,S2CA00088
WERTZ WILLIAM F JR,Senate,DEMOCRATIC PARTY,CA,0,S2CA00096
WILSON PETER B,Senate,REPUBLICAN PARTY,CA,0,S2CA00104
REAGAN MAUREEN,Senate,REPUBLICAN PARTY,CA,0,S2CA00112
VIDAL GORE,Senate,DEMOCRATIC PARTY,CA,0,S2CA00138
SHOCKLEY WILLIAM,Senate,REPUBLICAN PARTY,CA,0,S2CA00161
DIETRICH THERESA F,Senate,AMERICAN INDEPENDENT PARTY,CA,0,S2CA00179
FUHRIG JOSEPH,Senate,LIBERTARIAN PARTY,CA,0,S2CA00187
ARNOLD STANLEY N,Senate,INDEPENDENT,CA,0,S2CA00278
BOXER BARBARA,Senate,DEMOCRATIC PARTY,CA,0,S2CA00286
MATSUI ROBERT T,Senate,DEMOCRATIC PARTY,CA,0,S2CA00302
SEYMOUR JOHN F,Senate,REPUBLICAN PARTY,CA,0,S2CA00310
DANNEMEYER WILLIAM E,Senate,REPUBLICAN PARTY,CA,0,S2CA00328
DAVIS GRAY,Senate,DEMOCRATIC PARTY,CA,0,S2CA00344
CAMPBELL TOM,Senate,REPUBLICAN PARTY,CA,0,S2CA00351
TRINITY JAMES RICHARD,Senate,REPUBLICAN PARTY,CA,0,S2CA00369
LEVINE MEL,Senate,DEMOCRATIC PARTY,CA,0,S2CA00377
BONO SONNY,Senate,REPUBLICAN PARTY,CA,0,S2CA00393
BODDIE RICHARD,Senate,LIBERTARIAN PARTY,CA,0,S2CA00419
LADJEVARDI KHALIL,Senate,REPUBLICAN PARTY,CA,0,S2CA00427
JUSTICE ALEXANDER SWIFT EAGLE,Senate,REPUBLICAN PARTY,CA,0,S2CA00443
ALIOTO JOSEPH M,Senate,DEMOCRATIC PARTY,CA,0,S2CA00450
GENIS JUNE R,Senate,LIBERTARIAN PARTY,CA,0,S2CA00518
CARROLL JERRY LEON,Senate,OTHER,CA,0,S2CA00591
HOLBROOK KEITH MALLORY,Senate,REPUBLICAN PARTY,CA,0,S2CA00609
KONOPIK DIRK ALLEN,Senate,REPUBLICAN PARTY,CA,0,S2CA00625
TAITZ ORLY DR,Senate,REPUBLICAN PARTY,CA,0,S2CA00633
EMKEN ELIZABETH,Senate,REPUBLICAN PARTY,CA,0,S2CA00641
BORUFF JOHN EDWARD,Senate,REPUBLICAN PARTY,CA,0,S2CA00666
HUGHES DANIEL J,Senate,REPUBLICAN PARTY,CA,0,S2CA00682
LAUTEN ROBERT,Senate,REPUBLICAN PARTY,CA,0,S2CA00690
LEVITT DAVID ALEX,Senate,DEMOCRATIC PARTY,CA,0,S2CA00708
GLORIA ROGELIO T,Senate,REPUBLICAN PARTY,CA,0,S2CA00716
WILLIAMS RICK,Senate,REPUBLICAN PARTY,CA,0,S2CA00724
STRIMLING MICHAEL S,Senate,DEMOCRATIC PARTY,CA,0,S2CA00732
CONLON GREG,Senate,REPUBLICAN PARTY,CA,0,S2CA00740
KRAMPE DONALD,Senate,REPUBLICAN PARTY,CA,0,S2CA00799
WYLAND MARK,Senate,REPUBLICAN PARTY,CA,0,S2CA00823
LIEW SARAH DR.,Senate,REPUBLICAN PARTY,CA,0,S2CA00872
LUCERO ROBERT GEORGE MR JR,Senate,REPUBLICAN PARTY,CA,0,S2CA00898
ZHOU LIJUN (LILY),Senate,REPUBLICAN PARTY,CA,0,S2CA00948
PADILLA ALEX,Senate,DEMOCRATIC PARTY,CA,0,S2CA00955
TAYLOR PAUL A MR,Senate,REPUBLICAN PARTY,CA,0,S2CA00971
INGRAM DENARD TYRONE,Senate,DEMOCRATIC PARTY,CA,0,S2CA00989
GIRARD YVONNE RENEE,Senate,REPUBLICAN PARTY,CA,0,S2CA00997
MEUSER MARK,Senate,REPUBLICAN PARTY,CA,0,S2CA01060
WILLIAMS CORDIE LEE DR.,Senate,REPUBLICAN PARTY,CA,0,S2CA01094
SMITH CHARLES E,Senate,REPUBLICAN PARTY,CA,0,S2CA01110
HALL MYRON LOUIS DR.,Senate,REPUBLICAN PARTY,CA,0,S2CA01185
THEODORE CHRIS,Senate,DEMOCRATIC PARTY,CA,,S2CA01193
ELIST JON,Senate,REPUBLICAN PARTY,CA,0,S2CA01250
URSICH TIMOTHY J DR,Senate,DEMOCRATIC PARTY,CA,0,S2CA01276
O'DOWD DAN,Senate,DEMOCRATIC PARTY,CA,0,S2CA01284
HASKELL FLOYD K.,Senate,DEMOCRATIC PARTY,CO,0,S2CO00019
DONLEY JOHN P,Senate,REPUBLICAN PARTY,CO,0,S2CO00035
FAIN DOUGLAS MICHAEL,Senate,REPUBLICAN PARTY,CO,0,S2CO00043
NOAH MATTHEW JOHN,Senate,INDEPENDENT,CO,0,S2CO00050
LAMM RICHARD D,Senate,DEMOCRATIC PARTY,CO,0,S2CO00068
CHLOUBER KENNETH WAYNE,Senate,REPUBLICAN PARTY,CO,0,S2CO00076
STANLEY RICHARD EUGENE JR,Senate,LIBERTARIAN PARTY,CO,0,S2CO00118
POULTER BRUCE DENTON,Senate,DEMOCRATIC PARTY,CO,0,S2CO00126
YU PETER,Senate,REPUBLICAN PARTY,CO,0,S2CO00167
BRESLIN KAREN,Senate,DEMOCRATIC PARTY,CO,0,S2CO00191
BREMER ELI,Senate,REPUBLICAN PARTY,CO,0,S2CO00209
CAMPANA GINO,Senate,REPUBLICAN PARTY,CO,0,S2CO00225
HANKS RON,Senate,REPUBLICAN PARTY,CO,0,S2CO00233
O'DEA JOSEPH MATTHEW,Senate,REPUBLICAN PARTY,CO,0,S2CO00241
FLORA DEBORAH,Senate,REPUBLICAN PARTY,CO,0,S2CO00258
MOORE GREGORY JOHN DR.,Senate,REPUBLICAN PARTY,CO,0,S2CO00274
PEERY BRADFORD LEE,Senate,REPUBLICAN PARTY,CT,0,S2CT00017
MOORE ROBIN,Senate,REPUBLICAN PARTY,CT,0,S2CT00025
DOWNEY JOHN THOMAS,Senate,DEMOCRATIC PARTY,CT,0,S2CT00033
KAPATA LEON,Senate,DEMOCRATIC PARTY,CT,0,S2CT00041
MOFFETT ANTHONY TOBY,Senate,DEMOCRATIC PARTY,CT,0,S2CT00058
DIFAZIO LUCIEN P,Senate,CONSERVATIVE PARTY,CT,0,S2CT00066
BURNHAM CHRISTOPHER BANCROFT,Senate,REPUBLICAN PARTY,CT,0,S2CT00082
JAEKLE BOB,Senate,REPUBLICAN PARTY,CT,0,S2CT00090
JOHNSON BROOK,Senate,REPUBLICAN PARTY,CT,0,S2CT00116
GREGORY RICHARD D,Senate,UNKNOWN,CT,0,S2CT00124
MURPHY CHRISTOPHER S,Senate,DEMOCRATIC PARTY,CT,0,S2CT00132
BYSIEWICZ SUSAN,Senate,DEMOCRATIC PARTY,CT,0,S2CT00140
TONG WILLIAM M,Senate,DEMOCRATIC PARTY,CT,0,S2CT00157
SHAYS CHRISTOPHER,Senate,REPUBLICAN PARTY,CT,0,S2CT00165
LUMAJ PJERIN (PETER),Senate,REPUBLICAN PARTY,CT,0,S2CT00173
WESTBY KIE,Senate,REPUBLICAN PARTY,CT,0,S2CT00181
MCCOY JASON L,Senate,REPUBLICAN PARTY,CT,0,S2CT00199
HYDE ROBERT FINLEY,Senate,REPUBLICAN PARTY,CT,0,S2CT00256
FLYNN JOHN J,Senate,REPUBLICAN PARTY,CT,0,S2CT00264
LUMAJ PJERIN (PETER),Senate,REPUBLICAN PARTY,CT,0,S2CT00272
KLARIDES THEMIS,Senate,REPUBLICAN PARTY,CT,0,S2CT00306
LEVY LEORA,Senate,REPUBLICAN PARTY,CT,0,S2CT00314
TALMADGE KRISTI L,Senate,UNAFFILIATED,CT,0,S2CT00348
HOLT WILLIAM J,Senate,REPUBLICAN PARTY,DE,0,S2DE00031
WADE KEVIN L,Senate,REPUBLICAN PARTY,DE,0,S2DE00064
SPANARELLI KEITH ROBERT,Senate,DEMOCRATIC PARTY,DE,0,S2DE00072
PIRES ALEXANDER J JR,Senate,OTHER,DE,0,S2DE00080
MARKHAM WILLIAM,Senate,REPUBLICAN PARTY,FL,0,S2FL00011
POOLE VAN B,Senate,REPUBLICAN PARTY,FL,0,S2FL00037
BLUDWORTH DAVID H,Senate,REPUBLICAN PARTY,FL,0,S2FL00052
SNYDER GEORGE E,Senate,REPUBLICAN PARTY,FL,0,S2FL00060
GRANT JAMES WILLIAM,Senate,REPUBLICAN PARTY,FL,0,S2FL00078
BROTHERTON HUGH J,Senate,REPUBLICAN PARTY,FL,0,S2FL00086
QUARTEL DONALD ROBERT JR,Senate,REPUBLICAN PARTY,FL,0,S2FL00094
HARIDOPOLOS MIKE,Senate,REPUBLICAN PARTY,FL,0,S2FL00193
MCCALISTER MICHAEL E COLONEL,Senate,REPUBLICAN PARTY,FL,0,S2FL00201
RUSHING RONALD D,Senate,REPUBLICAN PARTY,FL,0,S2FL00219
LEMIEUX GEORGE S,Senate,REPUBLICAN PARTY,FL,0,S2FL00227
MILLER CRAIG S,Senate,REPUBLICAN PARTY,FL,0,S2FL00276
LONG DEON,Senate,REPUBLICAN PARTY,FL,0,S2FL00284
STUART MARIELENA,Senate,REPUBLICAN PARTY,FL,0,S2FL00300
MCNEIL RONALD A,Senate,REPUBLICAN PARTY,FL,0,S2FL00318
BORGIA CHRIS,Senate,NONE,FL,0,S2FL00326
MACK CONNIE,Senate,REPUBLICAN PARTY,FL,0,S2FL00334
GAYLOR WILLIAM G,Senate,OTHER,FL,0,S2FL00359
WELDON DAVID JOSEPH,Senate,REPUBLICAN PARTY,FL,0,S2FL00375
BARBERENA CARLOS JOSE,Senate,NO PARTY AFFILIATION,FL,0,S2FL00433
ELLISON ALLEN,Senate,DEMOCRATIC PARTY,FL,0,S2FL00458
WEIL JOSHUA JOSEPH,Senate,DEMOCRATIC PARTY,FL,0,S2FL00466
MIGUEL LUIS,Senate,REPUBLICAN PARTY,FL,0,S2FL00490
GRANT STEVEN B,Senate,NO PARTY AFFILIATION,FL,0,S2FL00508
DRIGGERS CALVIN JOB,Senate,REPUBLICAN PARTY,FL,0,S2FL00557
GRAYSON ALAN MARK,Senate,DEMOCRATIC PARTY,FL,0,S2FL00581
MISIGOY DENNIS,Senate,LIBERTARIAN PARTY,FL,0,S2FL00615
SANCHEZ WILLIAM,Senate,DEMOCRATIC PARTY,FL,0,S2FL00623
DEMINGS VAL,Senate,DEMOCRATIC PARTY,FL,0,S2FL00631
NGUYEN QUOC TUAN MR.,Senate,NO PARTY AFFILIATION,FL,0,S2FL00656
WATSON COLEMAN,Senate,DEMOCRATIC PARTY,FL,0,S2FL00672
FOX ALBERT A MR JR,Senate,DEMOCRATIC PARTY,FL,0,S2FL00680
DEPUY KEVIN C GYSGT,Senate,REPUBLICAN PARTY,FL,0,S2FL00706
RUSH BRIAN,Senate,DEMOCRATIC PARTY,FL,0,S2FL00748
DE LA FUENTE RICARDO,Senate,DEMOCRATIC PARTY,FL,0,S2FL00755
NUNN SAMUEL AUGUSTUS,Senate,DEMOCRATIC PARTY,GA,0,S2GA00019
BARR ROBERT L JR,Senate,REPUBLICAN PARTY,GA,0,S2GA00027
COVERDELL PAUL DOUGLAS,Senate,REPUBLICAN PARTY,GA,0,S2GA00035
HUDSON JAMES T JR (JIM),Senate,LIBERTARIAN PARTY,GA,0,S2GA00043
TANKSLEY CHARLES B,Senate,REPUBLICAN PARTY,GA,0,S2GA00050
KNOX JOHN,Senate,REPUBLICAN PARTY,GA,0,S2GA00076
WILLIAMS CHARLES MITCHELL,Senate,REPUBLICAN PARTY,GA,0,S2GA00084
IRVIN BOB,Senate,REPUBLICAN PARTY,GA,0,S2GA00092
GINGREY J PHILLIP,Senate,REPUBLICAN PARTY,GA,0,S2GA00100
CHAMBLISS C SAXBY,Senate,REPUBLICAN PARTY,GA,0,S2GA00118
THOMAS CLAUDE ANDERSON,Senate,LIBERTARIAN PARTY,GA,0,S2GA00134
SADDLER LATHAM,Senate,REPUBLICAN PARTY,GA,0,S2GA00175
KING KELVIN,Senate,REPUBLICAN PARTY,GA,0,S2GA00183
BLACK GARY,Senate,REPUBLICAN PARTY,GA,0,S2GA00209
CRAIG JARED B ESQ,Senate,REPUBLICAN PARTY,GA,0,S2GA00217
WALKER HERSCHEL MR.,Senate,REPUBLICAN PARTY,GA,0,S2GA00225
CLARK JOSHUA STEPHEN,Senate,REPUBLICAN PARTY,GA,0,S2GA00266
CHASE OLIVER,Senate,LIBERTARIAN PARTY,GA,0,S2GA00274
SHIPLEY AL,Senate,REPUBLICAN PARTY,HI,0,S2HI00031
REED RICHARD JAY,Senate,REPUBLICAN PARTY,HI,0,S2HI00049
JAMES JOHN WILLIAM PIEPER,Senate,REPUBLICAN PARTY,HI,0,S2HI00056
NISHIKI WAYNE K,Senate,DEMOCRATIC PARTY,HI,0,S2HI00064
HIRONO MAZIE K.,Senate,DEMOCRATIC PARTY,HI,0,S2HI00106
LINGLE LINDA,Senate,REPUBLICAN PARTY,HI,0,S2HI00114
MCDERMOTT ROBERT C,Senate,REPUBLICAN PARTY,HI,0,S2HI00155
BONOAN FEENA,Senate,LIBERTARIAN PARTY,HI,0,S2HI00171
DALHOUSE TIMOTHY ALAN MR.,Senate,REPUBLICAN PARTY,HI,0,S2HI00197
CHRISTIAN WALLYN,Senate,REPUBLICAN PARTY,HI,,S2HI00221
BORING MEL,Senate,NONE,IA,0,S2IA00024
LLOYD-JONES JEAN HALL,Senate,DEMOCRATIC PARTY,IA,0,S2IA00032
ZIMMERMAN STUART BRUCE,Senate,UNKNOWN,IA,0,S2IA00057
CARLIN JAMES M.,Senate,REPUBLICAN PARTY,IA,0,S2IA00131
MUHLBAUER DAVE MR.,Senate,DEMOCRATIC PARTY,IA,0,S2IA00149
HURST GLENN,Senate,DEMOCRATIC PARTY,IA,0,S2IA00156
FINKENAUER ABBY,Senate,DEMOCRATIC PARTY,IA,0,S2IA00164
FRANKEN MICHAEL T,Senate,DEMOCRATIC PARTY,IA,0,S2IA00172
STALLINGS RICHARD H,Senate,DEMOCRATIC PARTY,ID,0,S2ID00012
KEMPTHORNE DIRK,Senate,REPUBLICAN PARTY,ID,0,S2ID00020
ERHART MILT,Senate,REPUBLICAN PARTY,ID,0,S2ID00038
SCHAFFER MATT,Senate,DEMOCRATIC PARTY,ID,0,S2ID00046
BECK ROD,Senate,REPUBLICAN PARTY,ID,0,S2ID00053
BLINKEN ALAN JOHN,Senate,DEMOCRATIC PARTY,ID,0,S2ID00061
SNEDDON D. P.,Senate,DEMOCRATIC PARTY,ID,0,S2ID00079
TROTTER JAMES SCOTT,Senate,REPUBLICAN PARTY,ID,0,S2ID00129
CLEVELAND SCOTT OH,Senate,UNAFFILIATED,ID,0,S2ID00145
BOURN BRENDA,Senate,REPUBLICAN PARTY,ID,0,S2ID00160
ROTH DAVID JORDAN,Senate,DEMOCRATIC PARTY,ID,0,S2ID00178
TURNBULL RAMONT,Senate,REPUBLICAN PARTY,ID,,S2ID00186
PURSLEY BENJAMIN,Senate,DEMOCRATIC PARTY,ID,0,S2ID00194
HOFELD ALBERT F,Senate,DEMOCRATIC PARTY,IL,0,S2IL00010
BRAUN CAROL MOSELEY,Senate,DEMOCRATIC PARTY,IL,0,S2IL00028
WILLIAMSON RICHARD S,Senate,REPUBLICAN PARTY,IL,0,S2IL00036
KOPPIE CHAD N,Senate,CONSTITUTIONAL,IL,0,S2IL00044
SPEARS TERRENCE M,Senate,UNKNOWN,IL,0,S2IL00051
SPIEGEL ANDREW B,Senate,LIBERTARIAN PARTY,IL,0,S2IL00101
"OBERWEIS JAMES D ""JIM""",Senate,REPUBLICAN PARTY,IL,0,S2IL00119
DURKIN JAMES B,Senate,REPUBLICAN PARTY,IL,0,S2IL00127
ARVIEW TIMOTHY C,Senate,REPUBLICAN PARTY,IL,0,S2IL00150
"PITON ROBERT ""BOBBY""",Senate,REPUBLICAN PARTY,IL,0,S2IL00184
CHLEBEK CASEY,Senate,REPUBLICAN PARTY,IL,0,S2IL00200
REDPATH WILLIAM MR.,Senate,LIBERTARIAN PARTY,IL,0,S2IL00226
DUBIEL MATTHEW JAMES,Senate,REPUBLICAN PARTY,IL,0,S2IL00259
SALVI KATHY RAYE,Senate,REPUBLICAN PARTY,IL,0,S2IL00267
BEARDSLEY STEPHEN JOHNSON,Senate,DEMOCRATIC PARTY,IN,0,S2IN00018
KENDALL MICHAEL C,Senate,DEMOCRATIC PARTY,IN,0,S2IN00026
FITHIAN FLOYD J,Senate,DEMOCRATIC PARTY,IN,0,S2IN00034
HOGSETT JOSEPH H,Senate,DEMOCRATIC PARTY,IN,0,S2IN00059
MOURDOCK RICHARD E,Senate,REPUBLICAN PARTY,IN,0,S2IN00083
DONNELLY JOSEPH S,Senate,DEMOCRATIC PARTY,IN,0,S2IN00091
HORNING ANDY,Senate,LIBERTARIAN PARTY,IN,,S2IN00109
KHAALIQ HANEEFAH MS.,Senate,DEMOCRATIC PARTY,IN,0,S2IN00133
MCCRAY VALERIE L DR,Senate,DEMOCRATIC PARTY,IN,0,S2IN00166
NIEDERBERGER DANIEL MR,Senate,REPUBLICAN PARTY,IN,0,S2IN00182
MCDERMOTT THOMAS M. JR,Senate,DEMOCRATIC PARTY,IN,0,S2IN00208
SCENIAK JAMES,Senate,LIBERTARIAN PARTY,IN,0,S2IN00299
SCENIAK JAMES,Senate,LIBERTARIAN PARTY,IN,0,S2IN00307
O'DELL GLORIA JEAN,Senate,DEMOCRATIC PARTY,KS,0,S2KS00022
KIRK MARK BRIAN,Senate,LIBERTARIAN PARTY,KS,0,S2KS00055
NICHOLS JESSIE,Senate,UNKNOWN,KS,0,S2KS00071
COOK GEORGE H,Senate,REFORM PARTY,KS,0,S2KS00089
HOLLAND MARK R. REV.,Senate,DEMOCRATIC PARTY,KS,0,S2KS00113
KLINGENBERG ROBERT JOSEPH,Senate,DEMOCRATIC PARTY,KS,0,S2KS00121
BUSKIRK PAUL,Senate,DEMOCRATIC PARTY,KS,0,S2KS00139
MCCONNELL MITCH,Senate,REPUBLICAN PARTY,KY,0,S2KY00012
THOMPSON PHILIP,Senate,REPUBLICAN PARTY,KY,0,S2KY00038
WILLIAMS DAVID L,Senate,DEMOCRATIC PARTY,KY,0,S2KY00046
WEINBERG LOIS COMBS,Senate,DEMOCRATIC PARTY,KY,0,S2KY00061
BIERY DAVID,Senate,LIBERTARIAN PARTY,KY,,S2KY00103
GAO RUTH DR.,Senate,DEMOCRATIC PARTY,KY,0,S2KY00111
STAINFIELD TAMI L.,Senate,REPUBLICAN PARTY,KY,0,S2KY00137
STOCKSTILL LYLE,Senate,REPUBLICAN PARTY,LA,0,S2LA00010
COOKSEY JOHN CHARLES,Senate,REPUBLICAN PARTY,LA,0,S2LA00044
BLOSSMAN JACK A JR,Senate,REPUBLICAN PARTY,LA,0,S2LA00051
PERKINS ANTHONY RICHARD,Senate,REPUBLICAN PARTY,LA,0,S2LA00069
TERRELL SUZANNE HAIK,Senate,REPUBLICAN PARTY,LA,0,S2LA00077
MIXON LUKE,Senate,DEMOCRATIC PARTY,LA,0,S2LA00135
CHAMBERS GARY JR.,Senate,DEMOCRATIC PARTY,LA,0,S2LA00150
STEIB SYRITA,Senate,DEMOCRATIC PARTY,LA,0,S2LA00168
BROOKE EDWARD W.,Senate,REPUBLICAN PARTY,MA,0,S2MA00014
SHAMIE RAYMOND,Senate,REPUBLICAN PARTY,MA,0,S2MA00022
KATZ HOWARD,Senate,LIBERTARIAN PARTY,MA,0,S2MA00030
JEFFERSON MILDRED FAY DR,Senate,REPUBLICAN PARTY,MA,0,S2MA00055
HOPFMANN ALWIN E,Senate,DEMOCRATIC PARTY,MA,0,S2MA00063
SIMONE LYNN C MISS,Senate,INDEPENDENT,MA,0,S2MA00071
CARTER JAMES DARWIN,Senate,REPUBLICAN PARTY,MA,0,S2MA00089
CLOUD MICHAEL,Senate,LIBERTARIAN PARTY,MA,0,S2MA00097
FORSBERG RANDALL C,Senate,DEMOCRATIC PARTY,MA,0,S2MA00105
MASSIE ROBERT KINLOCH,Senate,DEMOCRATIC PARTY,MA,0,S2MA00113
DEFRANCO MARISA ANN,Senate,DEMOCRATIC PARTY,MA,0,S2MA00121
WARREN SETTI,Senate,DEMOCRATIC PARTY,MA,0,S2MA00139
CONROY THOMAS PATRICK,Senate,DEMOCRATIC PARTY,MA,0,S2MA00154
KING JAMES COYNE,Senate,DEMOCRATIC PARTY,MA,0,S2MA00162
WARREN ELIZABETH,Senate,DEMOCRATIC PARTY,MA,0,S2MA00170
HOGAN LAWRENCE JOSEPH,Senate,REPUBLICAN PARTY,MD,0,S2MD00024
JONES MARVIN DWAYNE,Senate,DEMOCRATIC PARTY,MD,0,S2MD00032
CHAVEZ ANSELMO ARTURO,Senate,DEMOCRATIC PARTY,MD,0,S2MD00057
ALBAUGH WILLIAM ALBERT,Senate,REPUBLICAN PARTY,MD,0,S2MD00065
HAYES YVONNE R,Senate,SOCIALIST PARTY U.S.A.,MD,0,S2MD00156
HOPKINS STUART WAYNE,Senate,REPUBLICAN PARTY,MD,0,S2MD00164
CASSILLY JOSEPH IGNATIUS,Senate,REPUBLICAN PARTY,MD,0,S2MD00172
SOBHANI S ROB,Senate,INDEPENDENT,MD,0,S2MD00198
KLIMA MARTHA SCANLAN,Senate,REPUBLICAN PARTY,MD,0,S2MD00222
HANNAN HERMAN J,Senate,,MD,0,S2MD00339
ESTRADA-PALMA TOMAS,Senate,LIBERTARIAN PARTY,MD,0,S2MD00347
CAPPS WILLIAM T JR,Senate,REPUBLICAN PARTY,MD,0,S2MD00354
BLAGMON RAYMOND LEVI,Senate,DEMOCRATIC PARTY,MD,0,S2MD00362
BONGINO DANIEL J,Senate,REPUBLICAN PARTY,MD,0,S2MD00370
DOUGLAS RICHARD JAMES,Senate,REPUBLICAN PARTY,MD,0,S2MD00388
SMITH MICHELLE LAURENCE MS,Senate,DEMOCRATIC PARTY,MD,0,S2MD00529
TARANTIN JAMES,Senate,REPUBLICAN PARTY,MD,0,S2MD00552
THORMANN JOHN H. IV,Senate,REPUBLICAN PARTY,MD,0,S2MD00586
FRIEND LORIE R,Senate,REPUBLICAN PARTY,MD,0,S2MD00602
EMERY DAVID F,Senate,REPUBLICAN PARTY,ME,0,S2ME00018
MITCHELL GEORGE J,Senate,DEMOCRATIC PARTY,ME,0,S2ME00026
CURTIS KENNETH MERWIN,Senate,DEMOCRATIC PARTY,ME,0,S2ME00034
D'AMBOISE LAURENCE SCOTT,Senate,REPUBLICAN PARTY,ME,0,S2ME00042
HINCK JON,Senate,DEMOCRATIC PARTY,ME,0,S2ME00067
DUNLAP MATTHEW GORDON,Senate,DEMOCRATIC PARTY,ME,0,S2ME00075
DILL CYNTHIA ANN,Senate,DEMOCRATIC PARTY,ME,0,S2ME00083
POLLARD JUSTIN BENJAMIN,Senate,DEMOCRATIC PARTY,ME,0,S2ME00091
KING ANGUS S. JR.,Senate,INDEPENDENT,ME,0,S2ME00109
SCHNEIDER WILLIAM JOSEPH,Senate,REPUBLICAN PARTY,ME,0,S2ME00117
BENNETT RICHARD A,Senate,REPUBLICAN PARTY,ME,0,S2ME00125
SUMMERS CHARLES EDWARD JR,Senate,REPUBLICAN PARTY,ME,0,S2ME00133
PLOWMAN DEBRA D.,Senate,REPUBLICAN PARTY,ME,0,S2ME00141
POLIQUIN BRUCE L,Senate,REPUBLICAN PARTY,ME,0,S2ME00158
WOODS STEPHEN M,Senate,INDEPENDENT,ME,0,S2ME00166
RUPPE PHILIP E,Senate,REPUBLICAN PARTY,MI,0,S2MI00029
HUBER ROBERT JAMES,Senate,REPUBLICAN PARTY,MI,0,S2MI00037
MACHCINSKI JOSEPH JOHN,Senate,DEMOCRATIC PARTY,MI,0,S2MI00045
BALLENGER WILLIAM S,Senate,REPUBLICAN PARTY,MI,0,S2MI00060
RACZKOWSKI ANDREW EDWARD,Senate,REPUBLICAN PARTY,MI,0,S2MI00128
BORREGARD ERIC JAMES,Senate,GREEN PARTY,MI,0,S2MI00136
HEKMAN RANDALL JOHN,Senate,REPUBLICAN PARTY,MI,0,S2MI00177
WILSON FREDRICK PHILLIP RICK,Senate,REPUBLICAN PARTY,MI,0,S2MI00185
HOEKSTRA PETER,Senate,REPUBLICAN PARTY,MI,0,S2MI00193
GLENN GARY RICHARD,Senate,REPUBLICAN PARTY,MI,0,S2MI00219
MONDALE WALTER F.,Senate,DEMOCRATIC PARTY,MN,0,S2MN00019
HEWITT FRED G,Senate,LIBERTARIAN PARTY,MN,0,S2MN00035
MERRITT GRANT J,Senate,DEMOCRATIC-FARMER-LABOR,MN,0,S2MN00043
MCCARTHY EUGENE J,Senate,DEMOCRATIC-FARMER-LABOR,MN,0,S2MN00050
MILLER JEFFREY M,Senate,UNKNOWN,MN,0,S2MN00084
COLEMAN NORM,Senate,REPUBLICAN PARTY,MN,0,S2MN00126
SHEPARD JACK,Senate,OTHER,MN,0,S2MN00159
MCGAA ED,Senate,GREEN PARTY,MN,0,S2MN00167
TRICOMO RAY,Senate,GREEN PARTY,MN,0,S2MN00175
MCGAUGHEY WILLIAM HOWARD TAFT JR,Senate,INDEPENDENT,MN,0,S2MN00183
MOORE JAMES ROBERT CLARK,Senate,INDEPENDENT,MN,0,S2MN00191
SEVERSON DANIEL MARK (DOC),Senate,REPUBLICAN PARTY,MN,0,S2MN00225
ARWOOD JOE EDWARD III,Senate,REPUBLICAN PARTY,MN,0,S2MN00233
HERNANDEZ ANTHONY JOHN,Senate,REPUBLICAN PARTY,MN,0,S2MN00241
HEGSETH PETE,Senate,REPUBLICAN PARTY,MN,0,S2MN00258
BILLS KURT PATRICK,Senate,REPUBLICAN PARTY,MN,0,S2MN00266
CARLSON DAVID,Senate,REPUBLICAN PARTY,MN,0,S2MN00290
MONTGOMERY JAMES ROBERT,Senate,DEMOCRATIC PARTY,MO,0,S2MO00015
RYAN TOM W JR,Senate,DEMOCRATIC PARTY,MO,0,S2MO00023
WOODS HARRIETT,Senate,DEMOCRATIC PARTY,MO,0,S2MO00031
ZYCH THOMAS E,Senate,DEMOCRATIC PARTY,MO,0,S2MO00049
ARNOLD BURLEIGH,Senate,DEMOCRATIC PARTY,MO,0,S2MO00064
HANCOCK MELTON D,Senate,REPUBLICAN PARTY,MO,0,S2MO00072
BERNSTEIN MERTON,Senate,DEMOCRATIC PARTY,MO,0,S2MO00163
ORTBALS GERALD R,Senate,DEMOCRATIC PARTY,MO,0,S2MO00171
FERGUSON KENNETH DALE,Senate,DEMOCRATIC PARTY,MO,0,S2MO00197
ROTHMAN-SEROT GERI,Senate,DEMOCRATIC PARTY,MO,0,S2MO00205
DODSON DANIEL JOSEPH,Senate,DEMOCRATIC PARTY,MO,0,S2MO00213
KRUEGER JIM,Senate,DEMOCRATIC PARTY,MO,0,S2MO00254
WESTFALL DAVID,Senate,DEMOCRATIC PARTY,MO,0,S2MO00312
JONES JESSE MARSHALL,Senate,REPUBLICAN PARTY,MO,0,S2MO00346
TALENT JAMES MATTHES,Senate,REPUBLICAN PARTY,MO,0,S2MO00353
STEELMAN SARAH H,Senate,REPUBLICAN PARTY,MO,0,S2MO00403
MARTIN ED,Senate,REPUBLICAN PARTY,MO,0,S2MO00411
